period,keyword_group,group_purpose,keywords,search_ratio,start_date,end_date,time_unit,collected_at
2025-10-06,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",5.69777,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-10-13,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",10.73492,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-10-20,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",10.03303,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-10-27,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.01899,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-03,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",6.02807,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-10,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",8.05119,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-17,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",8.13377,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-24,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",10.52848,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-01,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",9.20726,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-08,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",11.89099,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-15,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",12.01486,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-22,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.51445,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-29,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.47316,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-01-05,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",8.75309,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-01-12,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.47316,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-01-19,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",5.40875,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-01-26,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",6.60611,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-02-02,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.80346,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-02-09,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.22543,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-02-16,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",5.94549,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-02-23,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.80346,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-03-02,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",11.31296,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-03-09,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",8.83567,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-03-16,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.76218,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-03-23,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",6.48224,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
